ID,c1.txt_sc0,c10.txt_sc0,c11.txt_sc0,c12.txt_sc0,c13.txt_sc0,c14.txt_sc0,c14.txt_sc1,c14.txt_sc2,c14.txt_sc3,c15.txt_sc0,c16.txt_sc0,c17.txt_sc0,c18.txt_sc0,c19.txt_sc0,c2.txt_sc0,c20.txt_sc0,c21.txt_sc0,c22.txt_sc0,c22.txt_sc1,c22.txt_sc2,c22.txt_sc3,c22.txt_sc4,c23.txt_sc0,c3.txt_sc0,c4.txt_sc0,c5.txt_sc0,c6.txt_sc0,c7.txt_sc0,c8.txt_sc0,c9.txt_sc0
50,0,1,0.444444444,69,100,100,0,100,100,100,100,1,1,75,0,18,3,100,100,-1,100,-1,50,1,0,0,0,3,1.8278261,1
42,0,2,0.25,36,100,100,0,0,100,100,100,1,1,167,0,5,3,75,-1,-1,100,-1,0,0,0,0,0,5,10.827957,0
42,0,1,0.25,279,88.888885,100,0,0,100,100,100,9,17,1032,0,25,1,100,100,-1,100,100,45,0,0,0,0,4,5.21386,0
52,0,1,0.166666667,76,50,100,0,0,100,100,100,2,3,76,1,3,2,100,-1,100,83,-1,33,0,0,0,0,4,1.0936592,0
40,12,2,0.363636364,251,35.294117,100,0,0,0,88.23529053,88.23529053,17,19,939,0,42,3,63,100,-1,50,-1,0,0,0,0,0,3,2.7309813,0
30,12,0,0.25,247,64.28571,100,0,0,100,85.7142868,85.7142868,14,16,569,0.33333334,43,4,70,-1,-1,88,-1,50,0.6666667,0.5,0,0.4,3,2.7018633,0
24,0,2,0.333333333,43,100,100,0,0,100,100,100,1,1,91,0,12,1,66,-1,-1,40,-1,37,1,1,0,0.25,3,1.4121212,0
50,0,0,-1,12,0,0,0,0,0,0,0,0,0,17,0,6,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,2.5373135,0
40,0,2,0.285714286,59,80,100,0,100,100,100,100,5,11,61,0,3,2,40,100,-1,80,-1,0,0,0,0,0,3,1.7824268,0
32,0,0,0.428571429,40,100,100,0,0,100,100,100,1,1,170,0,15,3,100,-1,-1,33,-1,45,1,0,0,0,5,12.415384,0
40,0,3,0.125,99,50,100,0,100,100,50,50,2,1,199,0,56,1,100,100,-1,100,-1,51,0,0,0,0,3,1.2603062,0
30,0,0,0.285714286,119,46.666668,100,0,0,100,100,100,15,27,149,0.5,32,6,100,100,-1,100,-1,46,0.5,0.6666667,0.33333334,0,5,1.6258278,0
50,1,4,0.214285714,163,55.555557,100,0,0,0,100,100,9,8,605,0.33333334,42,6,62,100,-1,100,-1,55,0.6666667,0,0,0,5,7.070018,0
42,0,2,0.133333333,379,44.444443,100,0,0,0,100,100,36,38,1657,0.7222222,32,3,55,100,-1,100,-1,48,0.2777778,1,0,0,5,11.218112,1
40,0,2,0.153846154,299,68.181816,100,0,0,0,100,100,22,32,303,0,6,8,61,100,-1,-1,100,0,0,0,0,0,4,1.5061557,0
50,0,0,0.25,23,100,0,0,100,100,100,100,1,1,75,0,6,1,-1,100,-1,100,-1,33,0,0,0,0,2,5.2,0
50,0,4,0.1875,134,44.444443,100,0,0,0,100,100,9,8,494,0,40,8,60,100,-1,100,-1,50,1,0,0,0,5,16.77551,0
40,13,0,0.21875,302,46.42857,100,0,0,100,100,100,28,33,364,0,63,14,100,100,-1,100,-1,49,1,1,0,0.75,4,1.6922475,0
68,0,0,0.166666667,117,50,100,0,0,0,100,100,10,9,248,0,13,3,88,100,-1,100,100,42,0,0,0,0,5,3.4239767,0
30,37,3,0.147058824,690,50.909092,100,0,0,100,100,100,55,46,2793,0.33333334,114,18,39,-1,-1,52,-1,49,0.6666667,0.5,0,0.25,6,6.754653,0
50,3,0,0.1875,106,66.666664,100,0,0,0,100,100,3,2,111,0.5,19,2,100,-1,-1,100,-1,41,0.5,1,0,1,6,0.9727165,4
30,0,0,0.2,45,100,100,0,100,100,100,100,3,6,56,0,12,3,100,100,-1,100,-1,37,0,0,0,0,5,1.2453125,0
50,0,1,0.333333333,63,100,100,0,0,100,100,100,1,1,67,0,8,6,100,-1,-1,100,-1,40,1,0.5555556,0,0.5555556,3,1.3153439,0
50,0,1,0.333333333,63,100,100,0,0,100,100,100,1,1,68,0,9,7,100,-1,-1,100,-1,40,1,0.5555556,0,0.5555556,3,1.3164693,0
48,3,7,0.230769231,215,63.636364,100,0,100,100,100,100,11,31,220,0,28,3,52,100,-1,100,-1,47,1,1,0,0.6,4,1.1501297,0
40,0,0,0.5,42,50,100,0,0,100,100,100,2,1,55,0,15,2,100,100,100,100,-1,0,0,0,0,0,5,0.85501355,0
52,0,1,0.333333333,33,50,100,0,0,0,100,100,2,1,35,0,5,2,100,-1,-1,100,-1,33,0,0,0,0,5,1.0258621,1
68,0,0,0.333333333,33,50,100,0,0,100,100,100,2,1,37,0,9,3,100,-1,-1,75,-1,25,0,0,0,0,3,1.8337469,0
58,13,2,0.272727273,193,90,100,0,0,100,90,90,10,12,218,0.29411766,30,2,100,100,-1,71,-1,25,0.7058824,0.5833333,0,0.5,4,1.9800512,2
50,0,0,0.25,61,66.666664,100,0,100,100,100,100,3,1,133,0,12,4,100,100,-1,100,-1,0,1,0.5,0,0.5,5,1.3432494,3
50,3,0,0.238095238,153,50,100,0,0,0,100,100,4,1,161,0.75,37,1,92,-1,-1,100,-1,50,0.25,1,0,1,6,0.5273326,2
30,0,0,0.272727273,167,56.25,100,0,0,100,100,100,16,20,204,0.375,38,8,90,-1,-1,100,-1,48,0.625,0.5,0.1,0.1,4,1.5014938,0
40,0,0,0.166666667,47,66.666664,100,100,100,100,100,100,3,3,51,0,5,3,100,100,-1,100,100,0,0,0,0,0,7,0.8895152,0
40,13,0,0.2,278,40,100,0,0,100,100,100,25,32,344,0,67,8,100,100,-1,100,-1,49,1,1,0,0.6666667,4,1.547852,0
52,0,1,0.333333333,22,50,100,0,0,100,100,100,2,1,32,0,11,2,100,-1,-1,100,-1,42,0,0,0,0,3,1.7973568,1
52,0,0,-1,5,0,0,0,0,0,0,0,0,0,7,0,3,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,4.9166665,0
42,0,0,-1,7,0,0,0,0,0,0,0,0,0,9,0,3,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,3.512195,0
40,0,6,0.142857143,255,23.076923,100,0,100,100,69.2307663,76.92308044,13,21,260,0,40,1,100,66,-1,100,-1,60,0,0,0,0,4,1.0009857,0
48,28,2,0.148148148,531,30.76923,100,0,0,100,89.74359131,89.74359131,39,53,802,0.2,86,2,72,-1,-1,70,-1,51,0.8,0.5,0,0,6,2.2091358,2
40,0,0,0.222222222,47,50,100,100,100,100,100,100,2,2,52,0,7,5,100,100,-1,100,100,0,0,0,0,0,5,1.5952064,0
