@relation TEST

@attribute id numeric
@attribute c1.txt_sc0 numeric
@attribute c10.txt_sc0 numeric
@attribute c11.txt_sc0 numeric
@attribute c12.txt_sc0 numeric
@attribute c13.txt_sc0 numeric
@attribute c14.txt_sc0 numeric
@attribute c14.txt_sc1 numeric
@attribute c14.txt_sc2 numeric
@attribute c14.txt_sc3 numeric
@attribute c15.txt_sc0 numeric
@attribute c16.txt_sc0 numeric
@attribute c17.txt_sc0 numeric
@attribute c18.txt_sc0 numeric
@attribute c19.txt_sc0 numeric
@attribute c2.txt_sc0 numeric
@attribute c20.txt_sc0 numeric
@attribute c21.txt_sc0 numeric
@attribute c22.txt_sc0 numeric
@attribute c22.txt_sc1 numeric
@attribute c22.txt_sc2 numeric
@attribute c22.txt_sc3 numeric
@attribute c22.txt_sc4 numeric
@attribute c23.txt_sc0 numeric
@attribute c3.txt_sc0 numeric
@attribute c4.txt_sc0 numeric
@attribute c5.txt_sc0 numeric
@attribute c6.txt_sc0 numeric
@attribute c7.txt_sc0 numeric
@attribute c8.txt_sc0 numeric
@attribute c9.txt_sc0 numeric

@data
39.822817,3,3,0.153846,109,50,100,0,0,100,100,100,2,1,123,0,19,26,100,-1,-1,100,100,0,0,0,0,0,5,1.284267,0
38.886859,15,6,0.148148,287,37.5,100,0,0,100,100,100,16,17,346,0.533333,62,13,100,100,-1,93,-1,0,0.466667,0.428571,0,0.142857,4,1.382295,1
38.886612,15,6,0.142857,287,37.5,100,0,0,100,100,100,16,17,347,0.533333,62,13,100,100,-1,93,-1,0,0.466667,0.428571,0,0.142857,4,1.398032,1
47.126898,2,3,0.12,114,75,100,0,0,0,100,100,4,1,123,0.5,33,9,80,-1,-1,62,-1,0,0.5,0,0,0.333333,4,0.900573,0
48.566399,22,1,0.133333,448,50,100,0,0,100,89.285713,89.285713,28,32,490,0,63,18,96,-1,-1,66,-1,50,1,1,0,0.666667,3,1.848952,0
51.393301,11,4,0.3,194,53.846153,100,0,0,100,100,100,13,11,536,0.466667,38,7,50,-1,-1,70,-1,40,0.533333,0.5,0,0.125,4,6.292793,1
38.881415,28,2,0.266667,495,33.333332,100,0,0,0,89.743591,89.743591,39,53,556,0,97,7,92,-1,-1,66,-1,0,0,0,0,0,3,1.664478,1
46.51752,1,3,0.333333,58,75,100,0,100,100,100,100,4,1,247,0,19,3,100,100,100,100,-1,40,0,0,0,0,4,9.314516,0
80.020274,1,3,0.428571,65,75,100,0,100,0,100,100,4,1,254,0,19,3,100,100,100,100,-1,40,0,0,0,0,5,4.085527,0
41.935756,3,0,0.166667,58,50,100,0,0,0,100,100,2,1,65,0,8,5,100,-1,-1,100,-1,40,0,0,0,0,4,1.40988,0
38.98061,3,3,0.166667,54,50,100,0,0,0,100,100,2,1,61,0,8,6,100,100,-1,100,-1,25,0,0,0,0,3,1.632622,0
45.881098,17,5,0.21875,328,47.826088,100,0,0,100,100,100,23,29,391,0.3,64,8,100,-1,-1,92,-1,48,0.7,0.857143,0,0.571429,4,1.400091,0
48.799416,2,1,0.5,151,75,100,0,0,0,87.5,75,8,8,365,0.298246,26,7,85,100,-1,100,-1,45,0.701754,0.225,0,0.575,4,3.898643,0
51.630642,0,2,0.166667,91,50,100,0,0,0,100,100,2,1,382,0.857143,25,12,100,100,-1,66,-1,50,0.142857,0,0,0,4,13.122222,0
51.630642,0,2,0.166667,91,50,100,0,0,0,100,100,2,1,382,0.857143,25,12,100,100,-1,66,-1,50,0.142857,0,0,0,4,13.122222,0
41.832535,2,2,0.137931,148,41.666668,100,0,100,100,91.666664,91.666664,12,9,629,0.5,48,10,87,100,-1,88,-1,54,0.5,0,0,0,4,10.315789,0
41.133324,0,2,0.25,36,100,100,0,0,100,100,100,1,1,167,0,5,3,75,-1,-1,100,-1,0,0,0,0,0,5,10.913979,0
45.77061,0,6,0.130435,83,100,100,0,0,100,100,100,1,1,450,0,10,4,75,-1,-1,100,-1,0,0,0,0,0,5,10.966184,2
